n,tempo
1000029000000,0.006000
1000029100000,0.005000
1000029200000,0.006000
1000029300000,0.003000
1000029400000,0.008000
1000029500000,0.004000
1000029600000,0.006000
1000029700000,0.002000
1000029800000,0.010000
1000029900000,0.003000
1000030000000,0.009000
1000030100000,0.004000
1000030200000,0.005000
1000030300000,0.006000
1000030400000,0.005000
1000030500000,0.005000
1000030600000,0.003000
1000030700000,0.008000
1000030800000,0.006000
1000030900000,0.006000
1000031000000,0.005000
1000031100000,0.006000
1000031200000,0.005000
1000031300000,0.003000
1000031400000,0.008000
1000031500000,0.006000
1000031600000,0.004000
1000031700000,0.007000
1000031800000,0.007000
1000031900000,0.006000
1000032000000,0.008000
1000032100000,0.006000
1000032200000,0.006000
1000032300000,0.006000
1000032400000,0.004000
1000032500000,0.007000
1000032600000,0.006000
1000032700000,0.005000
1000032800000,0.006000
1000032900000,0.005000
1000033000000,0.006000
1000033100000,0.006000
1000033200000,0.005000
1000033300000,0.005000
1000033400000,0.006000
1000033500000,0.006000
1000033600000,0.006000
1000033700000,0.005000
1000033800000,0.004000
1000033900000,0.009000
1000034000000,0.006000
1000034100000,0.004000
1000034200000,0.005000
1000034300000,0.002000
1000034400000,0.010000
1000034500000,0.003000
1000034600000,0.008000
1000034700000,0.005000
1000034800000,0.005000
1000034900000,0.006000
1000035000000,0.001000
1000035100000,0.010000
1000035200000,0.004000
1000035300000,0.008000
1000035400000,0.006000
1000035500000,0.005000
1000035600000,0.008000
1000035700000,0.006000
1000035800000,0.006000
1000035900000,0.006000
1000036000000,0.005000
1000036100000,0.007000
1000036200000,0.005000
1000036300000,0.011000
1000036400000,0.007000
1000036500000,0.005000
1000036600000,0.008000
1000036700000,0.006000
1000036800000,0.005000
1000036900000,0.007000
1000037000000,0.005000
1000037100000,0.003000
1000037200000,0.008000
1000037300000,0.008000
1000037400000,0.006000
1000037500000,0.005000
1000037600000,0.005000
1000037700000,0.005000
1000037800000,0.006000
1000037900000,0.005000
1000038000000,0.003000
1000038100000,0.009000
1000038200000,0.006000
1000038300000,0.006000
1000038400000,0.004000
1000038500000,0.006000
1000038600000,0.002000
1000038700000,0.009000
1000038800000,0.003000
1000038900000,0.011000
1000039000000,0.006000
1000039100000,0.006000
1000039200000,0.004000
1000039300000,0.007000
1000039400000,0.005000
1000039500000,0.006000
1000039600000,0.007000
1000039700000,0.007000
1000039800000,0.006000
1000039900000,0.007000
1000040000000,0.006000
1000040100000,0.006000
1000040200000,0.003000
1000040300000,0.010000
1000040400000,0.009000
1000040500000,0.008000
1000040600000,0.004000
1000040700000,0.007000
1000040800000,0.009000
1000040900000,0.008000
1000041000000,0.006000
1000041100000,0.006000
1000041200000,0.005000
1000041300000,0.005000
1000041400000,0.003000
1000041500000,0.009000
1000041600000,0.004000
1000041700000,0.007000
1000041800000,0.005000
1000041900000,0.005000
1000042000000,0.008000
1000042100000,0.001000
1000042200000,0.011000
1000042300000,0.003000
1000042400000,0.009000
1000042500000,0.005000
1000042600000,0.007000
1000042700000,0.006000
1000042800000,0.007000
1000042900000,0.005000
1000043000000,0.007000
1000043100000,0.005000
1000043200000,0.005000
1000043300000,0.004000
1000043400000,0.007000
1000043500000,0.005000
1000043600000,0.005000
1000043700000,0.004000
1000043800000,0.009000
1000043900000,0.005000
1000044000000,0.007000
1000044100000,0.005000
1000044200000,0.006000
1000044300000,0.004000
1000044400000,0.006000
1000044500000,0.005000
1000044600000,0.006000
1000044700000,0.003000
1000044800000,0.010000
1000044900000,0.007000
1000045000000,0.003000
1000045100000,0.008000
1000045200000,0.006000
1000045300000,0.004000
1000045400000,0.006000
1000045500000,0.006000
1000045600000,0.003000
1000045700000,0.008000
1000045800000,0.006000
1000045900000,0.005000
